id,filename,label
0,Couch00015.jpg,Couch
1,Helmet00018.jpg,Helmet
2,Refrigerator00011.jpg,Refrigerator
3,Alarm_Clock00061.jpg,Alarm_Clock
4,Bike00088.jpg,Bike
5,Bottle00065.jpg,Bottle
6,Calculator00051.jpg,Calculator
7,Chair00048.jpg,Chair
8,Mouse00026.jpg,Mouse
9,Monitor00064.jpg,Monitor
10,Monitor00021.jpg,Monitor
11,Table00014.jpg,Table
12,Helmet00024.jpg,Helmet
13,Pen00022.jpg,Pen
14,Chair00003.jpg,Chair
15,Pencil00045.jpg,Pencil
16,Flowers00017.jpg,Flowers
17,Shelf00061.jpg,Shelf
18,Laptop00028.jpg,Laptop
19,Speaker00021.jpg,Speaker
20,Sneakers00088.jpg,Sneakers
21,Refrigerator00053.jpg,Refrigerator
22,Printer00048.jpg,Printer
23,Shelf00037.jpg,Shelf
24,Calendar00042.jpg,Calendar
25,Bed00004.jpg,Bed
26,Knives00048.jpg,Knives
27,Backpack00007.jpg,Backpack
28,Paper_Clip00023.jpg,Paper_Clip
29,Helmet00060.jpg,Helmet
30,Pen00057.jpg,Pen
31,Flowers00048.jpg,Flowers
32,Calculator00046.jpg,Calculator
33,Candles00092.jpg,Candles
34,Alarm_Clock00053.jpg,Alarm_Clock
35,Mouse00060.jpg,Mouse
36,Laptop00061.jpg,Laptop
37,Soda00060.jpg,Soda
38,Printer00040.jpg,Printer
39,Clipboards00033.jpg,Clipboards
40,Fork00024.jpg,Fork
41,Bottle00062.jpg,Bottle
42,Exit_Sign00076.jpg,Exit_Sign
43,Lamp_Shade00027.jpg,Lamp_Shade
44,Sneakers00071.jpg,Sneakers
45,Laptop00067.jpg,Laptop
46,Pen00051.jpg,Pen
47,Trash_Can00038.jpg,Trash_Can
48,Computer00064.jpg,Computer
49,Scissors00022.jpg,Scissors
50,Webcam00034.jpg,Webcam
51,Sink00059.jpg,Sink
52,Postit_Notes00051.jpg,Postit_Notes
53,Backpack00076.jpg,Backpack
54,Glasses00029.jpg,Glasses
55,Exit_Sign00007.jpg,Exit_Sign
56,Refrigerator00029.jpg,Refrigerator
57,File_Cabinet00001.jpg,File_Cabinet
58,Flowers00043.jpg,Flowers
59,Shelf00063.jpg,Shelf
60,Bottle00006.jpg,Bottle
61,Radio00049.jpg,Radio
62,Bucket00024.jpg,Bucket
63,Radio00023.jpg,Radio
64,Drill00010.jpg,Drill
65,Desk_Lamp00038.jpg,Desk_Lamp
66,Radio00061.jpg,Radio
67,Toys00030.jpg,Toys
68,File_Cabinet00034.jpg,File_Cabinet
69,Printer00016.jpg,Printer
70,Couch00074.jpg,Couch
71,Desk_Lamp00042.jpg,Desk_Lamp
72,Backpack00019.jpg,Backpack
73,Chair00085.jpg,Chair
74,Clipboards00051.jpg,Clipboards
75,Bed00047.jpg,Bed
76,Keyboard00028.jpg,Keyboard
77,Backpack00066.jpg,Backpack
78,Printer00014.jpg,Printer
79,Notebook00008.jpg,Notebook
80,Scissors00065.jpg,Scissors
81,Ruler00022.jpg,Ruler
82,Computer00011.jpg,Computer
83,Glasses00033.jpg,Glasses
84,ToothBrush00080.jpg,ToothBrush
85,Drill00004.jpg,Drill
86,Flowers00057.jpg,Flowers
87,Mop00041.jpg,Mop
